Date,CementType,Price Before VAT,Quantity In Quintal,Quantity In Ton,Transportation,  Sales,Tax,advertisement,Fuel
12-25-2019,OPC-Bag,352.5579,200,20,25,83203.66,12692.0844,4008.90427,8961.3896
12-25-2019,OPC-Bag,352.5579,200,20,25,83203.66,12692.0844,4008.90427,8961.3896
12-26-2019,PPC-Bag,264.7512,400,40,25,124962.57,19062.0864,6006.902,13708.0576
12-26-2019,OPC-Bag,352.5579,350,35,23,145606.41,22211.1477,6985.64063,15612.4318
12-26-2019,OPC-Bag,264.7512,200,20,25,62481.28,9531.0432,3016.68856,6854.0288
12-27-2019,OPC-Bag,356.5512,10000,1000,25,4207304.16,641792.16,200954.3271,452861.44
12-27-2019,PPC-Bag,264.7512,1200,120,25,374887.7,57186.2592,17967.75576,41124.1728
12-28-2019,PPC-Bag,264.7512,400,40,30,124962.57,19062.0864,6016.902,13908.0576
12-28-2019,OPC-Bag,352.5579,400,40,25,166407.33,25384.1688,7982.55275,17922.7792
12-28-2019,OPC-Bag,352.5579,400,40,95,166407.33,25384.1688,8122.55275,20722.7792
12-29-2019,PPC-Bag,264.7512,400,40,23,124962.57,19062.0864,6002.902,13628.0576
12-29-2019,PPC-Bag,264.7512,4800,480,25,1499550.8,228745.0368,71791.59768,164496.6912
12-29-2019,PPC-Bag,264.7512,200,20,25,62481.28,9531.0432,3016.68856,6854.0288
12-29-2019,OPC-Bag,352.5579,200,20,25,83203.66,12692.0844,4008.90427,8961.3896
12-30-2019,PPC-Bag,264.7512,400,40,23,124962.57,19062.0864,6002.902,13628.0576
01-01-2020,OPC-Bag,352.5579,400,40,23,166407.33,25384.1688,7978.55275,17842.7792
01-01-2020,OPC-Bag,352.5579,400,40,23,166407.33,25384.1688,7978.55275,17842.7792
01-02-2020,OPC-Bag,352.5579,400,40,23,166407.33,25384.1688,7978.55275,17842.7792
01-02-2020,OPC-Bag,352.5579,1600,160,22,665629.32,101536.6752,31800.44363,71211.1168
